"hashtags","avg_hashtags_per_tweet","avg_mentions_per_tweet","proportion_original_tweet","proportion_retweet","proportion_reply","proportion_quote_tweet","proportion_contains_media","proportion_contains_URL","avg_account_age","avg_account_total_tweets","avg_account_total_likes","avg_account_total_followers","avg_account_total_following","avg_account_total_lists","posts_per_hashtag","accounts_per_hashtag","avg_posts_per_account","avg_calendar_weeks_participated","avg_mentioned_by_other_users_per_account","avg_mentioned_other_users_per_account","avg_two_way_mentions_per_account"
"aledchat",1.59070687098369,0.215191959136596,0.43505376344086,0.463082437275986,0.101863799283154,0.0926164874551971,0.0845279288185863,0.137254901960784,1635.84938758738,5350.14474263088,4479.61680598328,1722.01979762429,1262.87901451826,96.7641882974043,13950,2273,6.13726352837659,1.68279806423229,1.82006159260889,2.65684117905851,0.46766388033436
"azedchat",5.03626943005181,0.341968911917098,0.626623376623377,0.363636363636364,0.00974025974025974,0.0714285714285714,0.481865284974093,0.72020725388601,1698.02997945011,8051.05102040816,4618.64285714286,3164.91836734694,2209.76530612245,149.173469387755,308,98,3.14285714285714,1.91836734693878,1.19387755102041,1.81632653061224,0.224489795918367
"arkedchat",2.03791737408036,0.347481607243916,0.488796680497925,0.365421853388658,0.145781466113416,0.114522821576763,0.155065082059989,0.196378041878891,1763.62164982639,10605.0633333333,6490.21166666667,5495.375,2167.12,215.425,3615,600,6.025,1.69666666666667,2.21833333333333,2.84166666666667,0.773333333333333
"caedchat",2.23442413939651,0.350531236719082,0.473631239935588,0.39597423510467,0.130394524959742,0.0650966183574879,0.166680832979176,0.336251593710157,1687.97461400802,5742.56488269795,4291.23240469208,2132.45197947214,1391.70032991202,124.35832111437,24840,5456,4.55278592375367,1.9875366568915,2.46059384164223,3.02657624633431,0.57074780058651
"coedchat",4.74342105263158,0.575657894736842,0.620408163265306,0.375510204081633,0.00408163265306122,0.0612244897959184,0.404605263157895,0.848684210526316,1838.85485122668,8029,4433.76642335766,3291.78102189781,2325.05109489051,205.547445255474,490,137,3.57664233576642,1.82481751824818,1.33576642335766,1.54014598540146,0.313868613138686
"ctedchat",5.25619834710744,0.276859504132231,0.560185185185185,0.43287037037037,0.00694444444444444,0.0462962962962963,0.516528925619835,0.747933884297521,1684.27024979075,11900.7118644068,8516.5197740113,10432.802259887,4708.93220338983,248.09604519774,432,177,2.4406779661017,1.61581920903955,0.983050847457627,1.27118644067797,0.129943502824859
"edude",2.97512437810945,0.519402985074627,0.469406819243344,0.522652965903783,0.00794021485287249,0.0289584306398879,0.299502487562189,0.647761194029851,1581.8166105226,6480.41694915254,3744.11016949153,4332.62542372881,1273.62033898305,94.4016949152542,2141,590,3.62881355932203,2.2271186440678,2.26949152542373,2.74067796610169,0.46271186440678
"fledchat",1.75189873417722,0.348523206751055,0.486702946914468,0.287195810658178,0.226101242427354,0.0533935722353424,0.159493670886076,0.223839662447257,1686.63326248362,7956.44112263575,5892.82855399634,3623.98169615619,1774.4624771202,172.553996339231,9739,1639,5.94203782794387,1.71262965222697,2.30323367907261,2.9450884685784,0.687004270896888
"gaed",2.24052409920449,0.509592887225082,0.629084486311451,0.318516337945246,0.0523991757433029,0.0850750662349132,0.197941038839495,0.302292934019654,1750.75472777165,7422.92582781457,4675.44635761589,2668.85033112583,1664.21986754967,135.845033112583,3397,755,4.49933774834437,2.11655629139073,1.79867549668874,2.7682119205298,0.582781456953642
"edchathi",2.75824175824176,0.58974358974359,0.408071748878924,0.491031390134529,0.100896860986547,0.0463378176382661,0.208791208791209,0.505494505494505,1796.16889863689,8163.93967517401,5588.31786542923,3037.22273781903,1695.32714617169,181.68909512761,1338,431,3.10440835266821,1.66589327146172,1.85150812064965,2.35266821345708,0.503480278422274
